text,department,priority,emergency_score
Neighborhood park is full of litter after the local fair.,cleaning department,Medium,0
Garbage collector is irregular and doesn't follow schedule.,cleaning department,Medium,0
Haritha Karma Sena members not wearing masks while working.,cleaning department,Medium,0
Waste collection vehicle is leaking liquid onto the street.,cleaning department,Medium,0
Waste bin near the bus stop has no cover and attracts birds.,cleaning department,Medium,0
Request for cleaning the historical village pond surface.,cleaning department,Medium,0
Littering around the village drinking water kiosk area.,cleaning department,Medium,0
Complaint about the noise from the waste processing unit.,cleaning department,Medium,0
Request for special drive to clean the market drains.,cleaning department,Medium,0
Waste from the local meat shop attracting too many crows.,cleaning department,Medium,0
Neighborhood drain breeding many flies during the daytime.,cleaning department,Medium,0
Waste bins at the railway station are always overflowing.,cleaning department,Medium,0
Household hazardous waste found in the general waste bin.,cleaning department,Medium,0
Request for a new waste collection bin at the town square.,cleaning department,Low,0
Inquiry about the schedule for Haritha Karma Sena in Ward 4.,cleaning department,Low,0
Request for information on domestic composting subsidies.,cleaning department,Low,0
Complaint about the late arrival of the waste collection truck.,cleaning department,Low,0
Request for extra waste bins during the village temple fair.,cleaning department,Low,0
Query regarding the user fee for non-biodegradable waste.,cleaning department,Low,0
Request for a plastic waste segregation awareness class.,cleaning department,Low,0
Complaint about a minor littering issue in the library yard.,cleaning department,Low,0
Request for the removal of a small pile of dry leaves.,cleaning department,Low,0
Inquiry about the location of the Resource Recovery Facility.,cleaning department,Low,0
Request for BPL verification for the water tariff concession.,cleaning department,Low,0
Inquiry about the "Malinya Muktham Nava Keralam" mission.,cleaning department,Low,0
Request for a new garbage bin near the village post office.,cleaning department,Low,0
Query on how to dispose of old furniture and wooden waste.,cleaning department,Low,0
Request for training on the Haritha Mithram mobile application.,cleaning department,Low,0
Complaint about receiving a waste collection bill with a typo.,cleaning department,Low,0
Request for more awareness posters on waste segregation rules.,cleaning department,Low,0
Inquiry about the status of the new waste-to-energy project.,cleaning department,Low,0
Request for cleaning around the public drinking fountain area.,cleaning department,Low,0
Query on the rules for domestic biogas plant installation.,cleaning department,Low,0
Request for information on the plastic waste recycling unit.,cleaning department,Low,0
Request for a workshop on waste management for shopkeepers.,cleaning department,Low,0
Request for information on domestic biogas plant subsidies.,cleaning department,Low,0
Complaint about lack of waste bins in the village library.,cleaning department,Low,0
Request for more info on Haritha Karma Sena services today.,cleaning department,Low,0
Request for more awareness posters on waste segregation rules.,cleaning department,Low,0
Request for information on the plastic ban rules in the village.,cleaning department,Low,0
Request for cleaning under the public seating area in the park.,cleaning department,Low,0
Request for removal of a dead lizard from a village shop.,cleaning department,Low,0
Inquiry about the nearest e-waste collection center location.,cleaning department,Low,0
Request for a brochure on home-based waste treatment methods.,cleaning department,Low,0
Query about the timing of the Haritha Karma Sena visit today.,cleaning department,Low,0
Request for a new waste bin cover for the household bin.,cleaning department,Low,0
Inquiry about the penalty for not segregating plastic waste.,cleaning department,Low,0
Request for information on the community composting program.,cleaning department,Low,0
Complaint about a minor spelling error in the waste tax receipt.,cleaning department,Low,0
Request for a demonstration of the kitchen waste bio-bin.,cleaning department,Low,0
Inquiry about the collection of old clothes for recycling.,cleaning department,Low,0
Request for a list of authorized scrap dealers in the ward.,cleaning department,Low,0
Query about the holiday schedule for waste collection workers.,cleaning department,Low,0
Request for more signage in the park about 'No Littering'.,cleaning department,Low,0
Inquiry about the subsidy for purchasing a domestic shredder.,cleaning department,Low,0
Request for a copy of the new waste management bylaws.,cleaning department,Low,0
Complaint about the waste collector not ringing the bell.,cleaning department,Low,0
Request for a new identification card for the Sena worker.,cleaning department,Low,0
Inquiry about the status of the ward's sanitation ranking.,cleaning department,Low,0
Request for a map of the public waste bins in the village.,cleaning department,Low,0
Query about the process for reporting illegal waste dumping.,cleaning department,Low,0
Request for a feedback form for the waste collection service.,cleaning department,Low,0
Inquiry about the "Filament Free Kerala" bulb disposal bins.,cleaning department,Low,0
High tension wire snapped and lying across NH 183 highway.,electricity department,Emergency,10.0
Electrical transformer sparking and smoking near a hospital.,electricity department,Emergency,9.8
Power outage in the primary health center cold storage room.,electricity department,Emergency,9.6
Live wire hanging near the primary school playground gate.,electricity department,Emergency,10.0
Short circuit causing fire in the KSEB junction box in market.,electricity department,Emergency,9.4
Total power failure at the village water pumping station area.,electricity department,Emergency,9.5
Electrical panel in the apartment basement is heating up fast.,electricity department,Emergency,9.3
Arcing on 11kV lines during heavy rain and high wind storm.,electricity department,Emergency,9.1
Power outage at the local hospital during a major surgery.,electricity department,Emergency,10.0
Service wire snapped and fell into a domestic well yesterday.,electricity department,Emergency,9.9
Electrical pole leaning dangerously over a residential roof.,electricity department,Emergency,9.5
Loud explosion heard from the transformer at Kandam Bazar.,electricity department,Emergency,9.8
Sparking observed from an underground cable joint on path.,electricity department,Emergency,9.2
Stay wire touching the metal gate of a residential building.,electricity department,Emergency,9.4
Visible smoke from the rooftop KSEB service meter box area.,electricity department,Emergency,9.3
Snapped wire fell on a moving bus on the main NH 183 road.,electricity department,Emergency,9.9
Transformer fuse unit caught fire at the busy market junction.,electricity department,Emergency,9.7
Total blackout in the entire village during the mountain storm.,electricity department,Emergency,9.1
Live wire lying submerged in a rainwater puddle on the street.,electricity department,Emergency,10.0
Electrical wire insulation melting near the main connector.,electricity department,Emergency,9.5
Power outage affecting the oxygen plant at the local clinic.,electricity department,Emergency,10.0
Snapped line sparking onto the dry haystack near the house.,electricity department,Emergency,9.8
Electrical pole collapsed onto a parked car with people inside.,electricity department,Emergency,10.0
Loud buzzing and sparks from the main village transformer.,electricity department,Emergency,9.6
High tension wire touching the wet tree branches on the road.,electricity department,Emergency,9.4
Short circuit at the primary school's main electrical panel.,electricity department,Emergency,9.5
Power line falling into the flooded paddy field area today.,electricity department,Emergency,9.2
Electrical meter box exploded in the residential colony lane.,electricity department,Emergency,9.4
Stay wire snapped and the pole is shaking in the heavy wind.,electricity department,Emergency,9.3
Total power failure at the government office data center room.,electricity department,Emergency,9.1
Sparks from the transformer falling onto the petrol station.,electricity department,Emergency,10.0
Snapped service wire lying across the entrance of the temple.,electricity department,Emergency,9.2
Power outage in the infant care unit of the nursing home.,electricity department,Emergency,10.0
Electrical wire snapped and touching the iron fence of the park.,electricity department,Emergency,9.6
Smoke coming out of the underground electrical junction box.,electricity department,Emergency,9.4
Pole mounted transformer oil fire at the village junction.,electricity department,Emergency,9.9
Total blackout during the critical medical emergency at home.,electricity department,Emergency,9.7
Snapped high tension wire causing grass fire near the forest.,electricity department,Emergency,9.5
Electrical pole leaning over the high voltage railway line.,electricity department,Emergency,10.0
Short circuit in the neighborhood street light pole today.,electricity department,Emergency,9.2
Power outage in the fire station communication server room.,electricity department,Emergency,9.8
Snapped line lying on the metal roof of a residential shop.,electricity department,Emergency,9.6
Electrical sparks from the meter causing small fire in wall.,electricity department,Emergency,9.4
Transformer bushings are arching and making a loud crackling.,electricity department,Emergency,9.1
Total power failure in the whole ward during the flood event.,electricity department,Emergency,9.3
Snapped service wire sparking near the gas cylinder storage.,electricity department,Emergency,10.0
Pole mounted fuse unit smoking and melting near the school.,electricity department,Emergency,9.5
High tension line touching the village library's antenna pole.,electricity department,Emergency,9.4
Electrical transformer oil leaking and sparking onto ground.,electricity department,Emergency,9.2
Power outage in the vaccine storage unit of the health center.,electricity department,Emergency,10.0
Voltage fluctuations damaging household refrigerators daily.,electricity department,High,0
Electrical pole leaning dangerously towards the public road.,electricity department,High,0
Sparking observed at the service wire junction box today.,electricity department,High,0
Total power outage in the ward for more than 12 hours now.,electricity department,High,0
Underground cable damaged during road construction work here.,electricity department,High,0
Transformer oil leakage observed on the public footpath path.,electricity department,High,0
Phase-to-phase contact causing visible fire in overhead lines.,electricity department,High,0
Voltage drops to 140V making induction stoves unusable now.,electricity department,High,0
High tension line sagging dangerously over the rubber trees.,electricity department,High,0
Electrical pole blocking the entry of fire tenders at junction.,electricity department,High,0
Tree branches touching the main lines causing frequent trips.,electricity department,High,0
No power in the irrigation pump house affecting local farmers.,electricity department,High,0
Voltage spike destroyed a TV and computer at my village home.,electricity department,High,0
Main switch at the substation is defective and sparking now.,electricity department,High,0
Phase wire vibrating excessively near the village substation.,electricity department,High,0
Incorrect penalty added to the bill for late payment error.,electricity department,High,0
Cable joint on the street pole melting and smelling bad.,electricity department,High,0
Power restored but the voltage is extremely high and risky.,electricity department,High,0
Sparking at the overhead line insulator near the high school.,electricity department,High,0
Transformer fuse blowing repeatedly every single day this week.,electricity department,High,0
KSEB worker left the pole-top fuse box open in the rain today.,electricity department,High,0
High tension line is sagging too close to the new house roof.,electricity department,High,0
Electrical wire insulation melting near the main connector.,electricity department,High,0
Stay wire is touching the metal gate of the residential home.,electricity department,High,0
Frequency of power cuts is more than 10 times in a single day.,electricity department,High,0
Electrical pole is shaking when heavy vehicles pass near it.,electricity department,High,0
Phase wire insulation is completely peeled off in three spots.,electricity department,High,0
Street light pole is rusted at the base and might fall down.,electricity department,High,0
Incorrect electricity bill received; meter reading is wrong.,electricity department,High,0
Frequent voltage drops causing the UPS to beep constantly now.,electricity department,High,0
Electrical wire is touching the metal signboard of the shop.,electricity department,High,0
Transformer bushings are covered in thick dust and sparking.,electricity department,High,0
Street lights not working near the dangerous bridge curve.,electricity department,High,0
Power outage in the milk chilling center risking all stock.,electricity department,High,0
Visible spark from the high-tension line during heavy wind.,electricity department,High,0
Transformer fuse box is hanging by a single screw on the pole.,electricity department,High,0
Phase-to-ground fault causing minor shocks from house walls.,electricity department,High,0
High tension line is touching the coconut tree in the garden.,electricity department,High,0
Electrical pole is blocking the entry to the village office.,electricity department,High,0
Main cable to the apartment block is heating up excessively.,electricity department,High,0
Voltage is so low that the water motor is humming not pumping.,electricity department,High,0
Electrical pole stay wire is rusted and might snap anytime.,electricity department,High,0
Power restored only in one phase of the three-phase system.,electricity department,High,0
Stay wire is loose and making the pole lean during storms.,electricity department,High,0
Electrical transformer is smoking and smelling of burning oil.,electricity department,High,0
High tension line is sagging over the public bus waiting shed.,electricity department,High,0
Visible arcing on the 11kV line during the rainy evening now.,electricity department,High,0
Electrical wire touching the metal roof of the nursery school.,electricity department,High,0
No power supply in the street lights near the hospital entry.,electricity department,High,0
Voltage drops significantly when the neighbor's motor starts.,electricity department,High,0
Street light in front of the house not working for a week.,electricity department,Medium,0
Frequent power cuts occurring every evening at peak time.,electricity department,Medium,0
Loud humming noise from the neighborhood transformer at night.,electricity department,Medium,0
Stay wire of the electrical pole is rusted and loose now.,electricity department,Medium,0
Power restored in the street but my house is still dark.,electricity department,Medium,0
Service wire rubbing against the branches of a mango tree.,electricity department,Medium,0
Electrical meter making a continuous clicking sound today.,electricity department,Medium,0
Digital meter display is fogged up and unreadable currently.,electricity department,Medium,0
Delay in restoring power after a scheduled maintenance work.,electricity department,Medium,0
Street light stays on during the afternoon wasting power.,electricity department,Medium,0
No street light in the dark alleyway near the village temple.,electricity department,Medium,0
Electricity meter glass is broken and water is entering.,electricity department,Medium,0
Service line wire passing through a large tree branch here.,electricity department,Medium,0
KSEB worker left the pole-top box open in the rainy weather.,electricity department,Medium,0
Stay wire is obstructing the entry to the village library.,electricity department,Medium,0
Frequent power trips during light rain in the Pampady area.,electricity department,Medium,0
Digital meter is not showing any reading or display today.,electricity department,Medium,0
Street light pole is rusted at the base and unstable now.,electricity department,Medium,0
Electrical fuse box in the market area is buzzing loudly.,electricity department,Medium,0
Stay wire of the pole is obstructing the public footpath path.,electricity department,Medium,0
Voltage fluctuation causing the LED bulbs to flicker tonight.,electricity department,Medium,0
Power restored but with extremely low voltage in Ward 4 area.,electricity department,Medium,0
Service line is passing too close to the first-floor balcony.,electricity department,Medium,0
KSEB technician demanded money for a free fuse replacement.,electricity department,Medium,0
Street light bracket is broken and hanging by the wire only.,electricity department,Medium,0
Electrical meter is running even when the main switch is off.,electricity department,Medium,0
No street light for the past month near the dark junction.,electricity department,Medium,0
Power outage in the village market during the busy hours now.,electricity department,Medium,0
Electrical meter display is cracked and unreadable currently.,electricity department,Medium,0
Stay wire is vibrating and making a whistling noise tonight.,electricity department,Medium,0
Voltage drops to 160V every evening during the peak hours.,electricity department,Medium,0
Request for the replacement of the damaged fuse box cover.,electricity department,Medium,0
Street light in the park is flickering and buzzing all night.,electricity department,Medium,0
Power outage in the primary school during a computer class.,electricity department,Medium,0
Transformer is vibrating very loudly and making a loud noise.,electricity department,Medium,0
Street light bracket is broken and light is facing upwards.,electricity department,Medium,0
Electrical meter is making a high-pitched sound constantly.,electricity department,Medium,0
Power outage only in the street light circuit tonight.,electricity department,Medium,0
Service wire is hanging too low over the pedestrian walkway.,electricity department,Medium,0
Street light stays off despite the dark cloudy weather today.,electricity department,Medium,0
Frequent burning of the service wire at the connection point.,electricity department,Medium,0
Power outage only in one phase of the domestic connection.,electricity department,Medium,0
Street light is glowing very dim compared to the others.,electricity department,Medium,0
Electrical fuse box cover is missing in the marketplace area.,electricity department,Medium,0
Power restored but the voltage is very unstable right now.,electricity department,Medium,0
Stay wire is obstructing the flow of water in the side drain.,electricity department,Medium,0
Service wire is touching the neighbor's property boundary.,electricity department,Medium,0
Street light pole is leaning over the highway traffic lane.,electricity department,Medium,0
Transformer bushings are covered in thick dust and soot.,electricity department,Medium,0
Electrical wire is vibrating and making noise in the wind.,electricity department,Medium,0
Request for shifting the electricity meter to the outer wall.,electricity department,Low,0
Incorrect electricity bill received; meter reading error.,electricity department,Low,0
Inquiry about KSEB's rooftop solar subsidy program details.,electricity department,Low,0
Request for a name change in the electricity connection record.,electricity department,Low,0
Complaint about the rude behavior of a KSEB meter reader.,electricity department,Low,0
Request for an itemized breakdown of the current month bill.,electricity department,Low,0
Inquiry about the "Filament Free Kerala" LED bulb scheme.,electricity department,Low,0
Request for a new meter box cover to replace the old wooden.,electricity department,Low,0
Complaint about receiving the bill after the due payment date.,electricity department,Low,0
Request for load reduction from 5kW to 3kW for the house.,electricity department,Low,0
Inquiry about the nearest KSEB section office location here.,electricity department,Low,0
Request for info on 'Akshaya Sree' energy saving program now.,electricity department,Low,0
Query on how to apply for a temporary power connection today.,electricity department,Low,0
Request for testing the three-phase meter for accuracy check.,electricity department,Low,0
Inquiry about the timeline for the new substation project.,electricity department,Low,0
Request for load extension from 3kW to 5kW for the shop.,electricity department,Low,0
Complaint about the KSEB office phone always being busy now.,electricity department,Low,0
Request for a separate meter for the tenant's room in house.,electricity department,Low,0
Inquiry about solar grid-tie connection inspection fee cost.,electricity department,Low,0
Request for information on KSEB's smart meter rollout plan.,electricity department,Low,0
Request for a copy of the previous month consumption report.,electricity department,Low,0
Inquiry about the bill payment through Akshaya Center portal.,electricity department,Low,0
Request for information on the new domestic electricity tariff.,electricity department,Low,0
Complaint about the delayed receipt of the security deposit.,electricity department,Low,0
Request for shifting the electrical pole for road widening.,electricity department,Low,0
Inquiry about the status of the connection application here.,electricity department,Low,0
Request for information on the green energy subsidy program.,electricity department,Low,0
Complaint about the behavior of the office clerk in KSEB.,electricity department,Low,0
Request for a new connection for the agricultural water pump.,electricity department,Low,0
Inquiry about the documents needed for an ownership transfer.,electricity department,Low,0
Request for the shifting of the electrical meter to the gate.,electricity department,Low,0
Inquiry about the 'Soura' rooftop solar project subsidies.,electricity department,Low,0
Request for information on the electrical safety awareness.,electricity department,Low,0
Complaint about the payment not being updated in the app.,electricity department,Low,0
Request for a brochure on the energy-efficient appliances.,electricity department,Low,0
Inquiry about the procedure for reporting a faulty street light.,electricity department,Low,0
Request for a new meter box installation for the apartment.,electricity department,Low,0
Inquiry about the latest electricity bill calculation method.,electricity department,Low,0
Request for a copy of the electrical connection agreement.,electricity department,Low,0
Complaint about the delayed response to a non-urgent query.,electricity department,Low,0
Request for information on the village street lighting plan.,electricity department,Low,0
Inquiry about the KSEB helpline number for billing issues.,electricity department,Low,0
Request for the pruning of tree branches over the power line.,electricity department,Low,0
Inquiry about the KSEB customer portal login procedure today.,electricity department,Low,0
Request for information on the solar grid-tie system rules.,electricity department,Low,0
Complaint about the KSEB office lacking a proper waiting area.,electricity department,Low,0
Request for a new consumer number identification card here.,electricity department,Low,0
Inquiry about the budget for the new transformer in the ward.,electricity department,Low,0
Request for a demonstration of the KSEB mobile application.,electricity department,Low,0
Inquiry about the recruitment of contract workers in KSEB.,electricity department,Low,0
Major pipe burst on NH 183 causing road flooding and jams.,water department,Emergency,8.8
Dead animal found inside the hilltop source reservoir tank.,water department,Emergency,9.8
Sewage backflow into the drinking water line near hospital.,water department,Emergency,10.0
Piped water smells strongly of sewage in the morning hours.,water department,Emergency,9.9
Main intake well in the river is clogged with plastic waste.,water department,Emergency,9.2
Sinking foundation of the twin-chambered tank at Thammanam.,water department,Emergency,9.7
Total water outage at the government hospital casualty unit.,water department,Emergency,10.0
Underground pipe burst causing road subsidence in Pampady.,water department,Emergency,8.9
Sinking foundation of the KWA reservoir wall near village.,water department,Emergency,9.4
Contamination of domestic well water after heavy monsoon rain.,water department,Emergency,8.5
Sewerage manhole is overflowing onto the public walkway area.,water department,Emergency,9.4
Discovery of toxic chemical odor in the piped water supply.,water department,Emergency,9.7
Major rupture in the main supply line crossing the river bed.,water department,Emergency,9.1
Water gushing out of an underground burst flooding the shops.,water department,Emergency,9.3
Total water outage in the local primary health center ward.,water department,Emergency,9.6
Sewage leak near the water intake well in the hill stream.,water department,Emergency,9.5
Discovery of high arsenic levels in the public water kiosk.,water department,Emergency,9.2
Piped water contains visible larvae and insects today morning.,water department,Emergency,9.4
Underground burst causing a massive sinkhole on the highway.,water department,Emergency,9.8
Main valve failure at the reservoir causing an acute crisis.,water department,Emergency,9.6
Main pipeline burst at the Vattukalam junction crossing.,water department,Emergency,8.7
Sewerage pipe blocked and leaking into the open street path.,water department,Emergency,9.1
Sinking of the ground near the KWA reservoir foundation wall.,water department,Emergency,9.3
Sewerage backflow in the ground floor apartment toilet area.,water department,Emergency,9.5
Underground pipe burst causing flooding of the shop basement.,water department,Emergency,9.2
Sinking of the wall near the water treatment plant unit tank.,water department,Emergency,9.1
Main supply pipe leaking near the electrical pole base area.,water department,Emergency,8.4
Sewerage line is leaking near the drinking well in backyard.,water department,Emergency,9.6
Pipeline burst in the forest area causing soil landslide.,water department,Emergency,9.5
Discovery of industrial chemicals in the village water tank.,water department,Emergency,9.8
Major leakage in the air release valve on the bridge span.,water department,Emergency,9.2
Water contamination after a sewage truck accident near source.,water department,Emergency,9.9
Collapse of the water storage tank sidewall at the pump house.,water department,Emergency,9.7
Sewage water entering the domestic water connection line.,water department,Emergency,10.0
Massive water leak causing structural damage to the library.,water department,Emergency,9.4
